date,avg_stay_monthly,hotel_occ,spend_per_capita,tourism_receipts,avg_stay_annual,visitor_arrivals,visitor_arrivals_china,year,month,quarter,period,china_share,china_share_pct,avg_stay_monthly_capped,visitor_arrivals_millions,visitor_arrivals_china_thousands,cluster_z_visitor_arrivals,cluster_z_china_share,cluster_z_hotel_occ,cluster_z_avg_stay_monthly_capped,hotel_occ_level_tertile,hotel_occ_level_business,dataset_split
2022-03-01,12.4513501,60.58287962,NA,NA,NA,121207,4131,2022,3,1,recovery,0.034082189972526336,3.4082189972526336,12.4513501,0.121207,4.131,-1.507236058446129,-1.168649671133767,-1.2904281499144727,0.3969182989471045,low,low,train
2022-04-01,7.34171785,66.39493782,NA,NA,NA,295095,5048,2022,4,2,recovery,0.01710635558040631,1.710635558040631,7.34171785,0.295095,5.048,-1.2221942433078496,-1.3099845982358689,-0.8306410282985272,-0.12392389291386999,low,low,train
2022-05-01,6.09692411,72.77220727,NA,NA,NA,418458,7150,2022,5,2,recovery,0.017086541540608617,1.7086541540608617,6.09692411,0.418458,7.15,-1.0199743463574935,-1.310149563079759,-0.326140511737147,-0.25080995207329776,low,medium,train
2022-06-01,5.6905102,78.07311692,NA,NA,NA,543733,10191,2022,6,2,recovery,0.018742654942775223,1.8742654942775223,5.6905102,0.543733,10.191,-0.814620248366557,-1.2963613355581312,0.09321007045758994,-0.2922371040346133,medium,medium,train
2022-07-01,5.12494991,79.14111572,NA,NA,NA,726739,16622,2022,7,3,recovery,0.022872035214843295,2.2872035214843294,5.12494991,0.726739,16.622,-0.5146319661320385,-1.2619815433047081,0.17769857302304656,-0.3498865877275207,medium,medium,train
2022-08-01,4.8721631500000004,77.14465378,NA,NA,NA,728744,14735,2022,8,3,recovery,0.02021972050541754,2.021972050541754,4.8721631500000004,0.728744,14.735,-0.5113453170282921,-1.2840637984357153,0.0197601186544395,-0.3756540018407054,low,medium,train
2022-09-01,4.38206123,82.84273883,NA,NA,NA,782215,14127,2022,9,3,recovery,0.01806025197675831,1.8060251976758308,4.38206123,0.782215,14.127,-0.4236942376136175,-1.302042786686155,0.4705309185515145,-0.4256117572639205,medium,medium,train
2022-10-01,4.38539838,84.43229195,NA,NA,NA,816833,14971,2022,10,4,recovery,0.01832810378620844,1.832810378620844,4.38539838,0.816833,14.971,-0.36694749513307284,-1.299812745140723,0.5962791524044461,-0.4252715902155837,high,medium,train
2022-11-01,4.1465637,85.82235138,NA,NA,NA,816340,16024,2022,11,4,recovery,0.019629076120244015,1.9629076120244016,4.1465637,0.81634,16.024,-0.36775563379050275,-1.2889812993486907,0.7062456052859398,-0.4496168213667325,high,high,train
2022-12-01,4.16434421,78.17278384,2248.38016725,14177.70974938,5.04255892,931441,19685,2022,12,4,recovery,0.021133920452288443,2.1133920452288444,4.16434421,0.931441,19.685,-0.17907902606466142,-1.276452485797809,0.10109463814260075,-0.4478043935152357,medium,medium,train
2023-01-01,4.32066786,71.27251632,NA,NA,NA,931814,28375,2023,1,1,recovery,0.030451356171939895,3.0451356171939894,4.32066786,0.931814,28.375,-0.1784675945855106,-1.1988787378572228,-0.44477982357576273,-0.4318697922519632,low,medium,train
2023-02-01,3.787811,85.08789048,NA,NA,NA,957844,35312,2023,2,1,recovery,0.03686612851362017,3.686612851362017,3.787811,0.957844,35.312,-0.13579852916380575,-1.1454715614942859,0.6481430103823895,-0.4861857041085468,high,high,train
2023-03-01,3.79990501,80.04863102,NA,NA,NA,1021040,60888,2023,3,1,recovery,0.059633315051320225,5.963331505132023,3.79990501,1.02104,60.888,-0.03220597217609698,-0.955919839010503,0.24949135851329365,-0.48495292054045563,medium,medium,train
2023-04-01,3.7549784,78.97420137,NA,NA,NA,1128610,90725,2023,4,2,recovery,0.08038649311985539,8.03864931198554,3.7549784,1.12861,90.725,0.1441256208862461,-0.7831360546202116,0.16449411671823944,-0.4895324426822463,medium,medium,train
2023-05-01,3.85334687,80.72367828,NA,NA,NA,1112512,95613,2023,5,2,recovery,0.08594334263360755,8.594334263360755,3.85334687,1.112512,95.613,0.11773735292010684,-0.7368716470628386,0.3028937894507765,-0.4795054100078674,medium,medium,train
2023-06-01,4.00308787,81.06717027,NA,NA,NA,1129310,113290,2023,6,2,recovery,0.10031789322683762,10.031789322683762,4.00308787,1.12931,113.29,0.14527307942620743,-0.6171941093765199,0.33006715694737776,-0.4642418006450891,medium,medium,train
2023-07-01,3.81994859,90.29539758,NA,NA,NA,1419642,231331,2023,7,3,recovery,0.16295023674982848,16.295023674982847,3.81994859,1.419642,231.331,0.6211929834605682,-0.09573887474223457,1.0601045940264764,-0.48290981026770735,high,high,train
2023-08-01,4.00239147,86.27374369,NA,NA,NA,1312693,215442,2023,8,3,recovery,0.1641221519426096,16.41221519426096,4.00239147,1.312693,215.442,0.4458793500458194,-0.08598191408182367,0.7419548779381776,-0.4643127870653763,high,high,train
2023-09-01,3.65395109,82.67366269,NA,NA,NA,1130762,135677,2023,9,3,recovery,0.11998722985031333,11.998722985031334,3.65395109,1.130762,135.677,0.14765323628338436,-0.4534340140779896,0.4571554448261249,-0.49983049995989454,medium,medium,train
2023-10-01,3.55358812,77.66917522,NA,NA,NA,1125964,122765,2023,10,4,recovery,0.10903101697745221,10.903101697745221,3.55358812,1.125964,122.765,0.13978822760519227,-0.5446516539260627,0.061254576353340626,-0.5100608388020835,low,medium,train
2023-11-01,3.41625483,78.29516881,NA,NA,NA,1100459,104347,2023,11,4,recovery,0.09482134273062422,9.482134273062421,3.41625483,1.100459,104.347,0.09797975608845842,-0.6629564881645664,0.11077641199086674,-0.5240596880889533,medium,medium,train
2023-12-01,3.54934946,73.94906972,1995.2781706,27155.50603753,3.791459,1231565,130156,2023,12,4,recovery,0.1056834190643612,10.56834190643612,3.54934946,1.231565,130.156,0.3128921837172727,-0.5725225965899172,-0.23303989577576675,-0.510492899830537,low,medium,train
2024-01-01,3.49473239,78.01252826,NA,NA,NA,1419956,211150,2024,1,1,recovery,0.14870179075971368,14.870179075971368,3.49473239,1.419956,211.15,0.6217077005770651,-0.2143665091085249,0.0884169516302577,-0.5160602035150291,medium,medium,train
2024-02-01,3.50327036,83.19153921,NA,NA,NA,1417807,326860,2024,2,1,recovery,0.2305391354394498,23.05391354394498,3.50327036,1.417807,326.86,0.6181850028593838,0.4669829242901131,0.4981242283946176,-0.5151898991973664,medium,medium,train
2024-03-01,3.33834727,83.41271879,NA,NA,NA,1464865,247622,2024,3,1,recovery,0.16904083311431428,16.904083311431428,3.33834727,1.464865,247.622,0.695323722821527,-0.04503067546912503,0.5156215622045961,-0.532001070624446,medium,medium,train
2024-04-01,3.4328891,77.96882822,NA,NA,NA,1343319,220332,2024,4,2,recovery,0.1640206086566184,16.40206086566184,3.4328891,1.343319,220.332,0.4960823003956132,-0.08682732836849542,0.08495987757582081,-0.5223641003787404,low,medium,test
2024-05-01,3.70187269,78.76344845,NA,NA,NA,1277160,222010,2024,5,2,recovery,0.1738310000313195,17.38310000313195,3.70187269,1.27716,222.01,0.38763271533089666,-0.00514940210231517,0.1478216273651635,-0.49494568830217006,medium,medium,test
2024-06-01,3.79600444,76.91959518,NA,NA,NA,1250293,216170,2024,6,2,recovery,0.17289547330105823,17.289547330105822,3.79600444,1.250293,216.17,0.3435916173406952,-0.012938274164175005,0.0019559187775502556,-0.485350518905447,low,medium,test
2024-07-01,3.66469904,89.38596473,NA,NA,NA,1602603,412805,2024,7,3,recovery,0.25758406791950345,25.758406791950346,3.66469904,1.602603,412.805,0.9211075005032321,0.6921496802949879,0.988160112740228,-0.4987349248652265,high,high,test
2024-08-01,3.6975754,87.84829851,NA,NA,NA,1539828,403138,2024,8,3,recovery,0.2618071628779318,26.18071628779318,3.6975754,1.539828,403.138,0.8182050578659857,0.7273097086215949,0.8665166086714168,-0.4953837256859098,high,high,test
2024-09-01,3.55457963,83.09800989,NA,NA,NA,1270681,217205,2024,9,3,recovery,0.17093589972620982,17.093589972620983,3.55457963,1.270681,217.205,0.37701216693031175,-0.02925300615054294,0.49072520117402,-0.5099597708158989,medium,medium,test
2024-10-01,3.48693737,81.17976198,NA,NA,NA,1314493,234528,2024,10,4,recovery,0.17841707791521141,17.84170779152114,3.48693737,1.314493,234.528,0.44882995772000567,0.03303269654641465,0.3389741940893514,-0.5168547764125991,medium,medium,test
